PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Teenager,AgeGroup_Young_Adult,AgeGroup_Adult,AgeGroup_Senior
1,0,3,1,-0.5657364610748746,1,0,-0.5024451714361923,False,True,False,True,False,False,False,True,False,False
2,1,1,0,0.6638610320657843,1,0,0.7868452935884461,False,False,False,False,True,False,False,False,True,False
3,1,3,0,-0.2583370877897099,0,0,-0.4888542575852486,False,True,True,False,False,False,False,True,False,False
4,1,1,0,0.4333115021019107,1,0,0.4207302360686478,False,True,False,False,True,False,False,True,False,False
5,0,3,1,0.4333115021019107,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
6,0,3,1,-0.10463740114712752,0,0,-0.47811642890864375,True,False,False,True,False,False,False,True,False,False
7,0,1,1,1.893458525206443,0,0,0.395813560675251,False,True,False,True,False,False,False,False,True,False
8,0,3,1,-2.1027333275006983,3,1,-0.22408312108167944,False,True,False,False,False,False,False,False,False,False
9,1,3,0,-0.1814872444684187,0,2,-0.4242561406845337,False,True,False,False,True,False,False,True,False,False
10,1,2,0,-1.180535207645204,1,0,-0.04295550208861426,False,False,False,False,True,False,True,False,False,False
11,1,3,0,-1.949033640858116,1,1,-0.312172377522981,False,True,True,False,False,False,False,False,False,False
12,1,1,0,2.200857898491608,0,0,-0.11384570873513637,False,True,True,False,False,False,False,False,True,False
13,0,3,1,-0.719436147717457,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
14,0,3,1,0.7407108753870755,1,5,-0.01870931177853076,False,True,False,True,False,False,False,False,True,False
15,0,3,0,-1.180535207645204,0,0,-0.4902797934380587,False,True,True,False,False,False,True,False,False,False
16,1,2,0,1.9703083685277343,0,0,-0.3262666585535892,False,True,False,False,True,False,False,False,True,False
17,0,3,1,-2.1027333275006983,4,1,-0.06199888922968463,True,False,False,False,False,False,False,False,False,False
18,1,2,1,-0.10463740114712752,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
19,0,3,0,0.12591212881674602,1,0,-0.2859972841804228,False,True,False,False,True,False,False,True,False,False
20,1,3,0,-0.10463740114712752,0,0,-0.5029485386158568,False,False,False,False,True,False,False,True,False,False
21,0,2,1,0.4333115021019107,0,0,-0.12491978668775715,False,True,False,True,False,False,False,True,False,False
22,1,2,1,0.35646165878061953,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
23,1,3,0,-1.1036853643239128,0,0,-0.4867562231804066,True,False,True,False,False,False,True,False,False,False
24,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,False,True,False,True,False,False,False,True,False,False
25,0,3,0,-1.6416342675729512,3,1,-0.22408312108167944,False,True,True,False,False,False,False,False,False,False
26,1,3,0,0.6638610320657843,1,5,-0.016444159470040135,False,True,False,False,True,False,False,False,True,False
27,0,3,1,-0.10463740114712752,0,0,-0.5029485386158568,False,False,False,True,False,False,False,True,False,False
28,0,1,1,-0.7962859910387481,3,2,4.647001076532463,False,True,False,True,False,False,False,True,False,False
29,1,3,0,-0.10463740114712752,0,0,-0.48977642625839407,True,False,True,False,False,False,False,True,False,False
30,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,True,False,True,False,False,False,True,False,False
31,0,1,1,0.8175607187083667,0,0,-0.09027201697708476,False,False,False,False,False,True,False,False,True,False
32,1,1,0,-0.10463740114712752,1,0,2.301728820789,False,False,False,False,True,False,False,True,False,False
33,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,True,False,True,False,False,False,False,True,False,False
34,0,2,1,2.8156566450619374,0,0,-0.43700743807979686,False,True,False,True,False,False,False,False,False,True
35,0,1,1,-0.10463740114712752,1,0,1.0060617003323709,False,False,False,True,False,False,False,True,False,False
36,0,1,1,0.9712604053509489,1,0,0.39858208016340624,False,True,False,True,False,False,False,False,True,False
37,1,3,1,-0.10463740114712752,0,0,-0.5028639729296732,False,False,False,True,False,False,False,True,False,False
38,0,3,1,-0.6425863043961658,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
39,0,3,0,-0.8731358343600393,2,0,-0.2859972841804228,False,True,True,False,False,False,True,False,False,False
40,1,3,0,-1.180535207645204,1,0,-0.42207354059350805,False,False,True,False,False,False,True,False,False,False
41,0,3,0,0.8175607187083667,1,0,-0.4576454924460446,False,True,False,False,True,False,False,False,True,False
42,0,2,0,-0.1814872444684187,1,0,-0.22559322262067316,False,True,False,False,True,False,False,True,False,False
43,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,False,False,True,False,False,False,True,False,False
44,1,2,0,-2.025883484179407,1,2,0.18876253192945994,False,False,True,False,False,False,False,False,False,False
45,1,3,0,-0.7962859910387481,0,0,-0.48977642625839407,True,False,True,False,False,False,False,True,False,False
46,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
47,0,3,1,-0.10463740114712752,1,0,-0.3363340021468808,True,False,False,True,False,False,False,True,False,False
48,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,True,False,True,False,False,False,False,True,False,False
49,0,3,1,-0.10463740114712752,2,0,-0.21191774308354583,False,False,False,True,False,False,False,True,False,False
50,0,3,0,-0.8731358343600393,1,0,-0.29002422161773944,False,True,False,False,True,False,True,False,False,False
51,0,3,1,-1.7184841108942424,4,1,0.1506737441786005,False,True,False,False,False,False,False,False,False,False
52,0,3,1,-0.6425863043961658,0,0,-0.4913710934835715,False,True,False,True,False,False,False,True,False,False
53,1,1,0,1.5092093085999871,1,0,0.8964967865378598,False,False,False,False,True,False,False,False,True,False
54,1,2,0,-0.027787557825836348,1,0,-0.12491978668775715,False,True,False,False,True,False,False,True,False,False
55,0,1,1,2.738806801740646,0,1,0.5995101505357573,False,False,False,True,False,False,False,False,False,True
56,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,False,True,False,True,False,False,False,True,False,False
57,1,2,0,-0.6425863043961658,0,0,-0.43700743807979686,False,True,True,False,False,False,False,True,False,False
58,0,3,1,-0.06621247948648194,0,0,-0.5028639729296732,False,False,False,True,False,False,False,True,False,False
59,1,2,0,-1.8721837975368247,1,2,-0.08968408411123653,False,True,True,False,False,False,False,False,False,False
60,0,3,1,-1.4110847376090776,5,2,0.2958951755118318,False,True,False,False,False,False,False,False,False,False
61,0,3,1,-0.5657364610748746,0,0,-0.5028639729296732,False,False,False,True,False,False,False,True,False,False
62,1,1,0,0.6638610320657843,0,0,0.962353321387736,False,True,True,False,False,False,False,False,True,False
63,0,1,1,1.2018099353148226,1,0,1.0323213593611125,False,True,False,True,False,False,False,False,True,False
64,0,3,1,-1.949033640858116,3,2,-0.08666388103324908,False,True,False,False,False,False,False,False,False,False
65,0,1,1,-0.10463740114712752,0,0,-0.09027201697708476,False,False,False,True,False,False,False,True,False,False
66,1,3,1,-0.10463740114712752,1,1,-0.3414522396297103,False,False,False,False,False,False,False,True,False,False
67,1,2,0,-0.027787557825836348,0,0,-0.43700743807979686,False,True,False,False,True,False,False,True,False,False
68,0,3,1,-0.7962859910387481,0,0,-0.4841568350646187,False,True,False,True,False,False,False,True,False,False
69,1,3,0,-0.9499856776813305,4,2,-0.4888542575852486,False,True,True,False,False,False,True,False,False,False
70,0,3,1,-0.2583370877897099,2,0,-0.47400492578514347,False,True,False,True,False,False,False,True,False,False
71,0,2,1,0.20276197213803718,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
72,0,3,0,-1.0268355210026217,5,2,0.2958951755118318,False,True,True,False,False,False,True,False,False,False
73,0,2,1,-0.6425863043961658,0,0,0.8314778546749452,False,True,False,True,False,False,False,True,False,False
74,0,3,1,-0.2583370877897099,1,0,-0.3573908580066095,False,False,False,True,False,False,False,True,False,False
75,1,3,1,0.20276197213803718,0,0,0.48910360681684706,False,True,False,True,False,False,False,True,False,False
76,0,3,1,-0.33518693111100106,0,0,-0.494391296561559,False,True,False,True,False,False,False,True,False,False
77,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,True,False,True,False,False,False,True,False,False
78,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
79,1,2,1,-2.192647644186609,0,2,-0.06451572512800753,False,True,False,False,False,False,False,False,False,False
